aerolinea,origen,destino,distancia_km,retraso,anio,mes,es_fin_semana,bloque_horario
G3,AEP,GRU,4779,1,2028,7,0,noche
AR,AEP,MIA,4786,0,2028,7,0,noche
AA,AEP,MAD,9423,0,2028,7,0,madrugada
AA,AEP,MIA,9538,0,2028,7,0,madrugada
AR,EZE,MAD,6418,0,2028,7,0,madrugada
AA,MAD,EZE,6188,0,2028,7,0,madrugada
AR,MAD,EZE,11853,0,2028,7,0,madrugada
IB,GRU,AEP,6799,0,2028,7,0,madrugada
AR,MIA,GRU,7995,0,2028,7,0,madrugada
IB,AEP,GRU,11432,0,2028,7,0,madrugada
G3,AEP,GRU,7475,1,2028,7,0,mañana
G3,MAD,GRU,8002,1,2028,7,0,mañana
AA,MAD,AEP,3660,0,2028,7,0,mañana
AR,MIA,AEP,7118,1,2028,7,0,mañana
IB,MIA,MAD,6809,0,2028,7,0,mañana
G3,MIA,MAD,6696,1,2028,7,0,mañana
G3,AEP,MAD,3413,1,2028,7,0,tarde
G3,MAD,EZE,9821,1,2028,7,0,tarde
AA,EZE,MAD,6787,0,2028,7,0,tarde
G3,MIA,MAD,9023,1,2028,7,0,tarde
LA,MIA,GRU,9830,0,2028,7,0,tarde
AA,MAD,EZE,8561,1,2028,7,0,tarde
AR,EZE,AEP,9746,1,2028,7,0,noche
LA,AEP,MAD,1281,1,2028,7,0,noche
AA,AEP,MAD,11931,1,2028,7,0,noche
AA,EZE,AEP,9126,0,2028,7,0,noche
IB,AEP,EZE,9972,0,2028,7,0,madrugada
LA,AEP,MAD,6632,0,2028,7,0,madrugada
LA,MIA,AEP,6618,0,2028,7,0,madrugada
LA,GRU,EZE,6652,1,2028,7,0,madrugada
G3,MAD,MIA,4312,1,2028,7,0,madrugada
G3,MIA,GRU,10138,1,2028,7,0,madrugada
AR,MAD,EZE,9570,0,2028,7,0,madrugada
AR,GRU,EZE,6861,0,2028,7,0,madrugada
AR,MAD,MIA,4686,0,2028,7,0,mañana
G3,EZE,GRU,1233,1,2028,7,0,mañana
IB,MIA,GRU,5876,0,2028,7,0,mañana
AR,MIA,GRU,6625,0,2028,7,0,mañana
AA,GRU,EZE,6701,0,2028,7,0,mañana
G3,EZE,GRU,3994,1,2028,7,0,mañana
IB,AEP,MAD,4625,0,2028,7,0,tarde
AA,GRU,AEP,732,0,2028,7,0,tarde
AA,MAD,MIA,4909,0,2028,7,0,tarde
G3,GRU,AEP,10330,1,2028,7,0,tarde
LA,EZE,MAD,8942,0,2028,7,0,tarde
IB,MIA,MAD,7153,1,2028,7,0,tarde
G3,MAD,MIA,8954,1,2028,7,0,noche
LA,AEP,GRU,3475,1,2028,7,0,noche
G3,AEP,EZE,4606,1,2028,7,0,noche
G3,AEP,MAD,11581,1,2028,7,0,noche
AA,EZE,MAD,7829,0,2028,7,0,madrugada
G3,MIA,MAD,8485,0,2028,7,0,madrugada
LA,MIA,MAD,6560,0,2028,7,1,madrugada
AA,GRU,MAD,5068,0,2028,7,1,madrugada
LA,EZE,MIA,11800,0,2028,7,1,madrugada
LA,EZE,MAD,7179,0,2028,7,1,madrugada
AA,MAD,EZE,9031,0,2028,7,1,madrugada
LA,AEP,MIA,10586,0,2028,7,1,madrugada
AR,AEP,MAD,8086,0,2028,7,1,mañana
G3,GRU,AEP,4160,1,2028,7,1,mañana
AA,AEP,GRU,3617,0,2028,7,1,mañana
AA,AEP,MIA,5845,0,2028,7,1,mañana
AR,AEP,MAD,1116,1,2028,7,1,mañana
AR,MIA,GRU,4482,0,2028,7,1,mañana
AR,GRU,AEP,4151,0,2028,7,1,tarde
AR,AEP,MAD,9924,0,2028,7,1,tarde
IB,EZE,GRU,6657,0,2028,7,1,tarde
AA,EZE,MAD,1212,0,2028,7,1,tarde
LA,EZE,GRU,11147,0,2028,7,1,tarde
AA,MAD,AEP,4107,1,2028,7,1,tarde
AA,EZE,MAD,2661,1,2028,7,1,noche
AA,AEP,GRU,4703,1,2028,7,1,noche
AR,EZE,MIA,2425,1,2028,7,1,noche
AR,EZE,MIA,3223,0,2028,7,1,noche
IB,GRU,MAD,1978,0,2028,7,1,madrugada
AA,MAD,MIA,5167,0,2028,7,1,madrugada
G3,AEP,MIA,2656,1,2028,7,1,madrugada
IB,MIA,AEP,3452,0,2028,7,1,madrugada
AR,AEP,GRU,11762,0,2028,7,1,madrugada
AA,GRU,MIA,2571,0,2028,7,1,madrugada
AR,AEP,EZE,3290,0,2028,7,1,madrugada
LA,AEP,EZE,8240,0,2028,7,1,madrugada
AR,MIA,MAD,6632,0,2028,7,1,mañana
AR,GRU,MIA,11655,0,2028,7,1,mañana
IB,GRU,EZE,3043,0,2028,7,1,mañana
LA,AEP,MIA,4886,0,2028,7,1,mañana
G3,AEP,MIA,10098,1,2028,7,1,mañana
G3,MAD,GRU,3607,1,2028,7,1,mañana
G3,MIA,GRU,4641,0,2028,7,1,tarde
AA,EZE,AEP,1643,0,2028,7,1,tarde
G3,EZE,MIA,2891,1,2028,7,1,tarde
AA,MAD,EZE,11730,0,2028,7,1,tarde
AR,EZE,GRU,1031,1,2028,7,1,tarde
G3,GRU,MAD,4461,1,2028,7,1,tarde
IB,AEP,EZE,4172,1,2028,7,1,noche
LA,EZE,GRU,7591,1,2028,7,1,noche
LA,AEP,MAD,9433,1,2028,7,1,noche
AR,MIA,MAD,7123,0,2028,7,1,noche
LA,MAD,GRU,5912,0,2028,7,1,madrugada
LA,AEP,GRU,9624,0,2028,7,1,madrugada
AR,GRU,MIA,5021,0,2028,7,0,madrugada
AR,GRU,AEP,9516,0,2028,7,0,madrugada
AR,MIA,MAD,5728,0,2028,7,0,madrugada
IB,AEP,MAD,1832,1,2028,7,0,madrugada
AR,MAD,AEP,8751,0,2028,7,0,madrugada
AR,MAD,MIA,7771,0,2028,7,0,madrugada
AR,MAD,MIA,7372,0,2028,7,0,mañana
G3,GRU,MIA,3487,1,2028,7,0,mañana
G3,GRU,MIA,7436,1,2028,7,0,mañana
IB,MIA,GRU,3814,0,2028,7,0,mañana
IB,GRU,EZE,1484,0,2028,7,0,mañana
LA,EZE,AEP,7984,0,2028,7,0,mañana
G3,EZE,GRU,3171,1,2028,7,0,tarde
IB,MAD,EZE,982,0,2028,7,0,tarde
IB,MIA,GRU,7479,0,2028,7,0,tarde
LA,MAD,GRU,2540,0,2028,7,0,tarde
AR,MAD,GRU,802,0,2028,7,0,tarde
AA,GRU,MIA,11934,1,2028,7,0,tarde
LA,EZE,MAD,1630,1,2028,7,0,noche
AA,MIA,MAD,3615,1,2028,7,0,noche
LA,EZE,MIA,9784,1,2028,7,0,noche
LA,GRU,MIA,9802,0,2028,7,0,noche
AR,GRU,MAD,8573,1,2028,7,0,madrugada
IB,AEP,MIA,5292,0,2028,7,0,madrugada
G3,GRU,AEP,5621,1,2028,7,0,madrugada
LA,GRU,EZE,8076,0,2028,7,0,madrugada
AR,EZE,MAD,8253,0,2028,7,0,madrugada
AA,MIA,MAD,8659,1,2028,7,0,madrugada
IB,EZE,AEP,6327,0,2028,7,0,madrugada
LA,EZE,MIA,10262,0,2028,7,0,madrugada
AA,AEP,MIA,933,0,2028,7,0,mañana
LA,EZE,GRU,4845,0,2028,7,0,mañana
G3,MIA,MAD,3280,1,2028,7,0,mañana
G3,MIA,GRU,947,1,2028,7,0,mañana
IB,AEP,MAD,9600,0,2028,7,0,mañana
AA,EZE,MIA,2105,0,2028,7,0,mañana
G3,GRU,AEP,783,1,2028,7,0,tarde
AR,GRU,MIA,2537,0,2028,7,0,tarde
IB,GRU,MIA,10011,0,2028,7,0,tarde
LA,MIA,AEP,10716,0,2028,7,0,tarde
AA,GRU,MIA,7265,0,2028,7,0,tarde
AA,MIA,EZE,4764,1,2028,7,0,tarde
AR,MAD,MIA,6859,1,2028,7,0,noche
G3,AEP,EZE,9487,1,2028,7,0,noche
AA,MAD,EZE,9330,1,2028,7,0,noche
AR,EZE,MAD,6436,0,2028,7,0,noche
AR,GRU,MIA,3007,0,2028,7,0,madrugada
LA,MIA,MAD,1895,1,2028,7,0,madrugada
AR,MIA,AEP,4671,0,2028,7,0,madrugada
IB,MIA,MAD,5579,0,2028,7,0,madrugada
AA,AEP,GRU,11257,0,2028,7,0,madrugada
IB,EZE,AEP,6839,0,2028,7,0,madrugada
AR,AEP,MAD,5936,0,2028,7,0,madrugada
AR,GRU,AEP,597,0,2028,7,0,madrugada
IB,MAD,AEP,6191,0,2028,7,0,mañana
LA,AEP,MIA,8083,0,2028,7,0,mañana
AR,AEP,GRU,3945,0,2028,7,0,mañana
IB,GRU,MAD,10305,0,2028,7,0,mañana
IB,MAD,GRU,10998,0,2028,7,0,mañana
AA,MAD,EZE,4076,0,2028,7,0,mañana
LA,AEP,MAD,9362,0,2028,7,0,tarde
G3,MIA,GRU,10217,1,2028,7,0,tarde
IB,MIA,MAD,1420,0,2028,7,0,tarde
AA,GRU,EZE,10848,0,2028,7,0,tarde
G3,EZE,GRU,5907,1,2028,7,0,tarde
AA,GRU,EZE,7660,1,2028,7,0,tarde
AA,GRU,MAD,8649,1,2028,7,0,noche
LA,MIA,MAD,8461,0,2028,7,0,noche
AR,MAD,GRU,5305,1,2028,7,0,noche
LA,GRU,MAD,7839,0,2028,7,0,noche
G3,EZE,AEP,6080,1,2028,7,0,madrugada
LA,EZE,GRU,5161,0,2028,7,0,madrugada
AR,MAD,AEP,5684,0,2028,7,0,madrugada
LA,MAD,AEP,9412,0,2028,7,0,madrugada
LA,MIA,GRU,2354,0,2028,7,0,madrugada
LA,AEP,MIA,3267,0,2028,7,0,madrugada
IB,AEP,EZE,4319,0,2028,7,0,madrugada
IB,MIA,EZE,10456,0,2028,7,0,madrugada
LA,MAD,GRU,10908,0,2028,7,0,mañana
AR,EZE,GRU,2565,0,2028,7,0,mañana
AR,MIA,AEP,8356,0,2028,7,0,mañana
AR,GRU,MIA,10952,0,2028,7,0,mañana
AR,AEP,GRU,1659,0,2028,7,0,mañana
AA,MAD,EZE,2948,0,2028,7,0,mañana
LA,EZE,MAD,4011,0,2028,7,0,tarde
LA,GRU,EZE,4116,0,2028,7,0,tarde
AA,GRU,EZE,6525,0,2028,7,0,tarde
AR,AEP,MIA,11285,0,2028,7,0,tarde
G3,AEP,GRU,11440,0,2028,7,0,tarde
G3,AEP,GRU,11865,1,2028,7,0,tarde
AA,EZE,AEP,7687,0,2028,7,0,noche
G3,MAD,EZE,3057,1,2028,7,0,noche
IB,AEP,EZE,2627,1,2028,7,0,noche
LA,MAD,GRU,10435,0,2028,7,0,noche
G3,EZE,AEP,2799,1,2028,7,0,madrugada
IB,MAD,MIA,11375,0,2028,7,0,madrugada
LA,EZE,MAD,1309,0,2028,7,0,madrugada
IB,GRU,EZE,9726,0,2028,7,0,madrugada
LA,EZE,MIA,1213,0,2028,7,0,madrugada
LA,MAD,MIA,974,0,2028,7,0,madrugada
G3,MAD,MIA,8329,1,2028,7,0,madrugada
AA,AEP,EZE,7140,0,2028,7,0,madrugada
G3,GRU,MAD,11208,1,2028,7,0,mañana
AR,MIA,MAD,8377,1,2028,7,0,mañana
IB,EZE,MIA,6959,0,2028,7,0,mañana
AR,MIA,EZE,9201,0,2028,7,0,mañana
LA,EZE,AEP,8819,0,2028,7,0,mañana
G3,EZE,AEP,8294,1,2028,7,0,mañana
AR,GRU,MAD,10095,0,2028,7,0,tarde
AR,AEP,MAD,3784,0,2028,7,0,tarde
AR,GRU,MIA,11325,0,2028,7,0,tarde
LA,MIA,GRU,1036,0,2028,7,0,tarde
LA,MIA,MAD,1279,0,2028,7,0,tarde
LA,EZE,MIA,1299,1,2028,7,0,tarde
AR,AEP,MIA,11410,1,2028,7,0,noche
IB,MAD,MIA,10507,1,2028,7,0,noche
G3,MAD,MIA,10953,1,2028,7,0,noche
G3,AEP,MIA,9371,1,2028,7,0,noche
LA,EZE,GRU,10897,0,2028,7,0,madrugada
AR,MAD,MIA,722,0,2028,7,0,madrugada
IB,EZE,GRU,5555,1,2028,7,1,madrugada
AA,GRU,MAD,672,0,2028,7,1,madrugada
LA,MIA,MAD,9476,1,2028,7,1,madrugada
AA,AEP,MIA,7444,0,2028,7,1,madrugada
G3,GRU,AEP,7216,1,2028,7,1,madrugada
G3,MAD,AEP,10366,1,2028,7,1,madrugada
IB,GRU,AEP,5749,0,2028,7,1,mañana
IB,GRU,AEP,5979,0,2028,7,1,mañana
AA,MAD,MIA,4972,0,2028,7,1,mañana
G3,GRU,MIA,3269,1,2028,7,1,mañana
IB,AEP,MIA,3122,0,2028,7,1,mañana
IB,MAD,EZE,8154,0,2028,7,1,mañana
G3,MAD,EZE,1638,1,2028,7,1,tarde
G3,EZE,MAD,4205,1,2028,7,1,tarde
AR,MAD,AEP,5054,0,2028,7,1,tarde
IB,MAD,EZE,6811,0,2028,7,1,tarde
AA,MIA,GRU,9818,0,2028,7,1,tarde
LA,EZE,AEP,2359,1,2028,7,1,tarde
LA,AEP,EZE,2832,0,2028,7,1,noche
G3,GRU,AEP,913,1,2028,7,1,noche
AA,MIA,AEP,760,0,2028,7,1,noche
AR,EZE,GRU,9445,0,2028,7,1,noche
IB,MAD,GRU,8371,0,2028,7,1,madrugada
AR,MAD,EZE,3749,0,2028,7,1,madrugada
AA,EZE,MIA,7972,0,2028,7,1,madrugada
AR,EZE,AEP,11722,0,2028,7,1,madrugada
G3,MIA,EZE,1897,1,2028,7,1,madrugada
LA,MIA,GRU,4640,0,2028,7,1,madrugada
G3,MIA,AEP,2886,1,2028,7,1,madrugada
IB,EZE,MAD,11677,0,2028,7,1,madrugada
G3,EZE,MIA,10235,1,2028,7,1,mañana
AA,MIA,AEP,11869,0,2028,7,1,mañana
AA,MIA,MAD,10943,0,2028,7,1,mañana
IB,EZE,GRU,3265,0,2028,7,1,mañana
IB,MAD,AEP,10124,0,2028,7,1,mañana
LA,MIA,EZE,2637,0,2028,7,1,mañana
AR,MIA,AEP,6957,0,2028,7,1,tarde
LA,EZE,AEP,11834,0,2028,7,1,tarde
G3,AEP,EZE,8562,1,2028,7,1,tarde
AR,AEP,EZE,5569,0,2028,7,1,tarde
IB,MIA,AEP,8004,0,2028,7,1,tarde
AA,GRU,MAD,5347,1,2028,7,1,tarde
G3,AEP,GRU,9131,1,2028,7,1,noche
LA,MIA,EZE,2534,0,2028,7,1,noche
IB,GRU,MAD,2150,1,2028,7,1,noche
AR,EZE,GRU,1514,0,2028,7,1,noche
AR,GRU,MAD,5438,0,2028,7,1,madrugada
AA,MIA,AEP,1722,1,2028,7,1,madrugada
IB,AEP,EZE,11362,0,2028,7,0,madrugada
IB,AEP,EZE,7910,0,2028,7,0,madrugada
G3,EZE,AEP,4809,1,2028,7,0,madrugada
G3,AEP,EZE,2061,1,2028,7,0,madrugada
AR,MAD,AEP,3527,0,2028,7,0,madrugada
LA,AEP,MAD,11108,0,2028,7,0,madrugada
AR,GRU,MIA,4332,0,2028,7,0,mañana
G3,AEP,GRU,3969,1,2028,7,0,mañana
G3,GRU,EZE,7555,1,2028,7,0,mañana
G3,MAD,MIA,1479,1,2028,7,0,mañana
AR,EZE,GRU,9186,0,2028,7,0,mañana
IB,MAD,AEP,11466,0,2028,7,0,mañana
LA,MIA,MAD,7124,0,2028,7,0,tarde
LA,GRU,MIA,10418,0,2028,7,0,tarde
G3,EZE,MIA,3358,1,2028,7,0,tarde
AA,MAD,GRU,1030,0,2028,7,0,tarde
AR,EZE,AEP,5831,0,2028,7,0,tarde
IB,MIA,GRU,1713,1,2028,7,0,tarde
G3,MIA,MAD,10888,1,2028,7,0,noche
AA,MAD,MIA,11651,1,2028,7,0,noche
G3,GRU,AEP,604,1,2028,7,0,noche
AA,MAD,EZE,9001,0,2028,7,0,noche
LA,AEP,EZE,5696,0,2028,7,0,madrugada
AA,MIA,MAD,6452,0,2028,7,0,madrugada
LA,EZE,MAD,6542,0,2028,7,0,madrugada
LA,EZE,MAD,5438,0,2028,7,0,madrugada
AR,MIA,MAD,8636,0,2028,7,0,madrugada
AA,EZE,AEP,8690,0,2028,7,0,madrugada
IB,GRU,MIA,884,0,2028,7,0,madrugada
IB,MAD,MIA,3104,0,2028,7,0,madrugada
AA,MAD,EZE,7120,1,2028,7,0,mañana
AR,AEP,EZE,3562,0,2028,7,0,mañana
IB,AEP,GRU,8796,0,2028,7,0,mañana
G3,EZE,MIA,11399,1,2028,7,0,mañana
IB,EZE,MIA,3656,0,2028,7,0,mañana
AR,MIA,EZE,799,0,2028,7,0,mañana
LA,AEP,GRU,9485,0,2028,7,0,tarde
LA,AEP,GRU,10626,0,2028,7,0,tarde
LA,GRU,EZE,2275,0,2028,7,0,tarde
AR,MAD,GRU,3360,0,2028,7,0,tarde
LA,EZE,AEP,11033,0,2028,7,0,tarde
LA,MIA,EZE,5508,1,2028,7,0,tarde
AR,AEP,MIA,9122,1,2028,7,0,noche
G3,MIA,EZE,3268,1,2028,7,0,noche
IB,AEP,MIA,9832,1,2028,7,0,noche
AR,GRU,MAD,5244,0,2028,7,0,noche
AR,AEP,EZE,9282,0,2028,7,0,madrugada
AA,EZE,GRU,4951,0,2028,7,0,madrugada
LA,EZE,AEP,2378,0,2028,7,0,madrugada
G3,GRU,AEP,8066,1,2028,7,0,madrugada
AA,MAD,GRU,4673,0,2028,7,0,madrugada
G3,MIA,EZE,7884,1,2028,7,0,madrugada
LA,GRU,MIA,10207,0,2028,7,0,madrugada
LA,EZE,MIA,3062,0,2028,7,0,madrugada
LA,MAD,EZE,8297,0,2028,7,0,mañana
IB,GRU,MIA,6868,0,2028,7,0,mañana
G3,GRU,MIA,11280,1,2028,7,0,mañana
G3,EZE,GRU,5239,1,2028,7,0,mañana
AA,AEP,MAD,9570,0,2028,7,0,mañana
AR,AEP,MAD,9732,0,2028,7,0,mañana
LA,MAD,AEP,11953,0,2028,7,0,tarde
LA,GRU,MAD,11535,0,2028,7,0,tarde
AA,MAD,EZE,5567,1,2028,7,0,tarde
G3,GRU,MIA,11052,1,2028,7,0,tarde
IB,MAD,EZE,4397,0,2028,7,0,tarde
G3,EZE,GRU,7805,1,2028,7,0,tarde
IB,GRU,AEP,6813,1,2028,7,0,noche
IB,AEP,MAD,956,1,2028,7,0,noche
G3,EZE,AEP,7038,1,2028,7,0,noche
LA,EZE,AEP,2621,0,2028,7,0,noche
IB,MAD,GRU,661,0,2028,7,0,madrugada
AA,GRU,MAD,10848,0,2028,7,0,madrugada
AA,AEP,MAD,2733,0,2028,7,0,madrugada
IB,AEP,GRU,11405,0,2028,7,0,madrugada
LA,GRU,MIA,5879,0,2028,7,0,madrugada
IB,MAD,AEP,3503,0,2028,7,0,madrugada
AA,GRU,MAD,7972,0,2028,7,0,madrugada
AA,MIA,MAD,9780,0,2028,7,0,madrugada
G3,AEP,GRU,10974,1,2028,7,0,mañana
LA,GRU,EZE,2730,0,2028,7,0,mañana
G3,AEP,MIA,8714,1,2028,7,0,mañana
AR,MIA,MAD,5176,0,2028,7,0,mañana
IB,MIA,EZE,772,0,2028,7,0,mañana
G3,GRU,MAD,9160,1,2028,7,0,mañana
LA,MIA,AEP,8350,0,2028,7,0,tarde
IB,AEP,EZE,665,1,2028,7,0,tarde
IB,MAD,EZE,2817,0,2028,7,0,tarde
IB,EZE,MIA,1729,0,2028,7,0,tarde
IB,EZE,AEP,7050,0,2028,7,0,tarde
IB,EZE,MIA,9026,1,2028,7,0,tarde
LA,EZE,AEP,11393,1,2028,7,0,noche
AR,GRU,EZE,4712,1,2028,7,0,noche
AA,MAD,MIA,1317,1,2028,7,0,noche
AR,MIA,EZE,3582,0,2028,7,0,noche
AA,MIA,GRU,10159,1,2028,7,0,madrugada
G3,GRU,MAD,5263,1,2028,7,0,madrugada
IB,MAD,MIA,3410,0,2028,7,0,madrugada
G3,MAD,AEP,10773,1,2028,7,0,madrugada
G3,AEP,GRU,630,1,2028,7,0,madrugada
AA,MIA,MAD,4980,0,2028,7,0,madrugada
LA,MAD,GRU,10862,0,2028,7,0,madrugada
IB,MAD,AEP,3299,0,2028,7,0,madrugada
G3,MIA,GRU,1714,1,2028,7,0,mañana
AR,AEP,MAD,1232,0,2028,7,0,mañana
IB,MIA,AEP,3804,0,2028,7,0,mañana
LA,MAD,AEP,10122,0,2028,7,0,mañana
IB,MIA,MAD,11193,0,2028,7,0,mañana
G3,MAD,MIA,3719,1,2028,7,0,mañana
AR,MAD,EZE,9551,0,2028,7,0,tarde
G3,EZE,MAD,10382,1,2028,7,0,tarde
LA,GRU,MIA,9509,0,2028,7,0,tarde
AA,EZE,MAD,7953,0,2028,7,0,tarde
AR,GRU,MAD,5201,1,2028,7,0,tarde
LA,EZE,GRU,10169,1,2028,7,0,tarde
LA,MIA,EZE,4882,1,2028,7,0,noche
G3,MAD,GRU,7980,1,2028,7,0,noche
G3,GRU,AEP,847,1,2028,7,0,noche
G3,EZE,MAD,6451,1,2028,7,0,noche
AA,AEP,MAD,2967,0,2028,7,0,madrugada
IB,GRU,EZE,5695,1,2028,7,0,madrugada
IB,AEP,EZE,4754,0,2028,7,1,madrugada
G3,MAD,MIA,10731,1,2028,7,1,madrugada
G3,MAD,EZE,5246,0,2028,7,1,madrugada
AA,MAD,EZE,2632,0,2028,7,1,madrugada
IB,MAD,AEP,1716,0,2028,7,1,madrugada
AA,AEP,GRU,9758,0,2028,7,1,madrugada
LA,EZE,MAD,11019,0,2028,7,1,mañana
IB,AEP,EZE,4853,0,2028,7,1,mañana
G3,GRU,MIA,2187,1,2028,7,1,mañana
AR,MAD,AEP,9961,0,2028,7,1,mañana
LA,AEP,MAD,1790,0,2028,7,1,mañana
AR,AEP,GRU,10320,0,2028,7,1,mañana
AA,AEP,GRU,2823,0,2028,7,1,tarde
AA,MAD,AEP,3075,0,2028,7,1,tarde
AA,MAD,EZE,2862,0,2028,7,1,tarde
G3,GRU,AEP,2164,1,2028,7,1,tarde
AA,MIA,MAD,8301,0,2028,7,1,tarde
AR,GRU,MAD,7037,1,2028,7,1,tarde
LA,EZE,MIA,8542,1,2028,7,1,noche
G3,MAD,AEP,11096,0,2028,7,1,noche
LA,AEP,EZE,10756,1,2028,7,1,noche
AA,MIA,MAD,4314,0,2028,7,1,noche
IB,MAD,EZE,9015,0,2028,7,1,madrugada
G3,AEP,GRU,6921,1,2028,7,1,madrugada
AA,EZE,AEP,9910,0,2028,7,1,madrugada
G3,MAD,EZE,5096,1,2028,7,1,madrugada
IB,MIA,GRU,3067,0,2028,7,1,madrugada
AR,MAD,GRU,5841,0,2028,7,1,madrugada
AR,MIA,AEP,3605,1,2028,7,1,madrugada
AR,MIA,MAD,7258,0,2028,7,1,madrugada
IB,MIA,EZE,5659,0,2028,7,1,mañana
LA,GRU,MAD,10593,0,2028,7,1,mañana
IB,EZE,MIA,657,0,2028,7,1,mañana
IB,MAD,MIA,6803,0,2028,7,1,mañana
AA,MAD,EZE,6945,1,2028,7,1,mañana
AR,MIA,MAD,7318,0,2028,7,1,mañana
G3,AEP,MAD,5978,1,2028,7,1,tarde
LA,MIA,GRU,6874,0,2028,7,1,tarde
G3,MAD,GRU,1738,1,2028,7,1,tarde
AA,MAD,MIA,1642,0,2028,7,1,tarde
AA,MAD,MIA,1297,0,2028,7,1,tarde
LA,MIA,AEP,975,1,2028,7,1,tarde
G3,MIA,MAD,9086,1,2028,7,1,noche
LA,GRU,MAD,3571,1,2028,7,1,noche
LA,MAD,GRU,3709,1,2028,7,1,noche
AR,MAD,GRU,7533,0,2028,7,1,noche
G3,MAD,EZE,10990,1,2028,7,1,madrugada
AR,MIA,GRU,9718,1,2028,7,1,madrugada
AR,MAD,GRU,7318,0,2028,7,0,madrugada
AR,MIA,EZE,5525,0,2028,7,0,madrugada
IB,EZE,MAD,7867,0,2028,7,0,madrugada
AA,GRU,AEP,609,0,2028,7,0,madrugada
AA,EZE,AEP,11387,0,2028,7,0,madrugada
IB,AEP,GRU,720,0,2028,7,0,madrugada
LA,EZE,MIA,3412,0,2028,7,0,mañana
G3,GRU,AEP,6318,1,2028,7,0,mañana
G3,AEP,GRU,2098,1,2028,7,0,mañana
G3,MAD,EZE,6751,1,2028,7,0,mañana
AR,MAD,EZE,10579,0,2028,7,0,mañana
G3,MAD,MIA,3273,1,2028,7,0,mañana
G3,GRU,AEP,5624,1,2028,7,0,tarde
G3,AEP,GRU,4091,1,2028,7,0,tarde
AA,AEP,MAD,7289,0,2028,7,0,tarde
IB,AEP,GRU,11826,0,2028,7,0,tarde
LA,MAD,MIA,5367,0,2028,7,0,tarde
IB,MIA,MAD,7951,1,2028,7,0,tarde
G3,EZE,MAD,8965,1,2028,7,0,noche
LA,MIA,AEP,1446,1,2028,7,0,noche
LA,MIA,GRU,4843,1,2028,7,0,noche
IB,GRU,AEP,1932,1,2028,7,0,noche
IB,EZE,GRU,4638,0,2028,7,0,madrugada
IB,MIA,AEP,8544,0,2028,7,0,madrugada
IB,MIA,GRU,11357,0,2028,8,0,madrugada
AR,MAD,EZE,1951,1,2028,8,0,madrugada
AA,MIA,EZE,3877,0,2028,8,0,madrugada
AA,MIA,GRU,2253,0,2028,8,0,madrugada
G3,GRU,AEP,8457,0,2028,8,0,madrugada
AR,MAD,AEP,7991,0,2028,8,0,madrugada
LA,MAD,GRU,11302,1,2028,8,0,mañana
IB,MIA,EZE,1900,0,2028,8,0,mañana
G3,EZE,GRU,8497,1,2028,8,0,mañana
LA,AEP,MIA,3987,0,2028,8,0,mañana
AA,EZE,MIA,10861,0,2028,8,0,mañana
LA,EZE,MIA,8172,0,2028,8,0,mañana
IB,EZE,GRU,6400,0,2028,8,0,tarde
IB,MIA,GRU,7951,0,2028,8,0,tarde
AA,MAD,MIA,1454,0,2028,8,0,tarde
IB,GRU,EZE,3790,0,2028,8,0,tarde
AR,MAD,AEP,8017,0,2028,8,0,tarde
G3,MIA,GRU,7276,0,2028,8,0,tarde
AA,MAD,AEP,4500,1,2028,8,0,noche
AA,MIA,AEP,6799,0,2028,8,0,noche
LA,EZE,MAD,8497,0,2028,8,0,noche
AA,AEP,MIA,1200,0,2028,8,0,noche
G3,MAD,MIA,11082,1,2028,8,0,madrugada
AR,AEP,EZE,10126,0,2028,8,0,madrugada
LA,AEP,EZE,6842,0,2028,8,0,madrugada
G3,AEP,MAD,2930,1,2028,8,0,madrugada
AA,MIA,MAD,2663,0,2028,8,0,madrugada
IB,GRU,EZE,10463,0,2028,8,0,madrugada
IB,MAD,GRU,11746,0,2028,8,0,madrugada
G3,EZE,MIA,5821,1,2028,8,0,madrugada
AR,AEP,GRU,3870,0,2028,8,0,mañana
IB,MIA,EZE,8760,0,2028,8,0,mañana
G3,GRU,AEP,8842,0,2028,8,0,mañana
LA,GRU,MAD,1484,0,2028,8,0,mañana
AA,AEP,MAD,6137,1,2028,8,0,mañana
AR,MIA,MAD,5479,0,2028,8,0,mañana
AR,MAD,MIA,2637,0,2028,8,0,tarde
LA,GRU,AEP,2292,0,2028,8,0,tarde
AR,GRU,EZE,7754,0,2028,8,0,tarde
G3,AEP,GRU,652,1,2028,8,0,tarde
AR,MIA,EZE,8274,1,2028,8,0,tarde
AR,MIA,AEP,7506,1,2028,8,0,tarde
AR,MIA,MAD,1401,1,2028,8,0,noche
G3,MIA,GRU,7292,1,2028,8,0,noche
AA,AEP,MIA,10041,1,2028,8,0,noche
IB,AEP,EZE,10201,0,2028,8,0,noche
AR,GRU,MAD,10790,0,2028,8,0,madrugada
LA,GRU,MIA,8577,0,2028,8,0,madrugada
LA,MAD,AEP,4792,0,2028,8,0,madrugada
G3,EZE,GRU,11306,1,2028,8,0,madrugada
AA,GRU,MIA,2127,0,2028,8,0,madrugada
AR,AEP,MIA,6509,0,2028,8,0,madrugada
G3,MAD,AEP,7375,1,2028,8,0,madrugada
IB,GRU,MAD,2533,0,2028,8,0,madrugada
